date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2020-09-05,US_NY_NYC,156,3,0,232197,18789
2020-09-06,US_NY,729,9,0,439501,25359
2020-09-06,US_NY_NYC,207,7,0,232404,18796
2020-09-07,US_NY,520,2,0,440021,25361
2020-09-07,US_NY_NYC,218,1,0,232622,18797
2020-09-08,US_NY,557,6,0,440578,25367
2020-09-08,US_NY_NYC,393,2,0,233015,18799
2020-09-09,US_NY,576,3,0,441154,25370
2020-09-09,US_NY_NYC,353,2,0,233368,18801
2020-09-10,US_NY,757,7,0,441911,25377
2020-09-10,US_NY_NYC,323,3,0,233691,18804
2020-09-11,US_NY,880,5,0,442791,25382
2020-09-11,US_NY_NYC,313,4,0,234004,18808
2020-09-12,US_NY,849,2,0,443640,25384
2020-09-12,US_NY_NYC,202,4,0,234206,18812
2020-09-13,US_NY,725,6,0,444365,25390
2020-09-13,US_NY_NYC,263,3,0,234469,18815
2020-09-14,US_NY,583,4,0,444948,25394
2020-09-14,US_NY_NYC,461,5,0,234930,18820
2020-09-15,US_NY,766,11,0,445714,25405
2020-09-15,US_NY_NYC,415,3,0,235345,18823
2020-09-16,US_NY,652,5,0,446366,25410
2020-09-16,US_NY_NYC,457,6,0,235802,18829
2020-09-17,US_NY,896,3,0,447262,25413
2020-09-17,US_NY_NYC,441,4,0,236243,18833
2020-09-18,US_NY,790,10,0,448052,25423
2020-09-18,US_NY_NYC,292,3,0,236535,18836
2020-09-19,US_NY,986,2,0,449038,25425
2020-09-19,US_NY_NYC,215,5,0,236750,18841
2020-09-20,US_NY,862,2,0,449900,25427
2020-09-20,US_NY_NYC,221,5,0,236971,18846
2020-09-21,US_NY,573,1,0,450473,25428
2020-09-21,US_NY_NYC,558,3,0,237529,18849
2020-09-22,US_NY,754,4,0,451227,25432
2020-09-22,US_NY_NYC,498,3,0,238027,18852
2020-09-23,US_NY,665,5,0,451892,25437
2020-09-23,US_NY_NYC,614,4,0,238641,18856
2020-09-24,US_NY,955,2,0,452847,25439
2020-09-24,US_NY_NYC,543,3,0,239184,18859
2020-09-25,US_NY,908,7,0,453755,25446
2020-09-25,US_NY_NYC,462,4,0,239646,18863
2020-09-26,US_NY,1005,4,0,454760,25450
2020-09-26,US_NY_NYC,280,5,0,239926,18868
2020-09-27,US_NY,866,6,0,455626,25456
2020-09-27,US_NY_NYC,382,2,0,240308,18870
2020-09-28,US_NY,834,12,0,456460,25468
2020-09-28,US_NY_NYC,435,3,0,240743,18873
2020-09-29,US_NY,1189,2,0,457649,25470
2020-09-29,US_NY_NYC,686,7,0,241429,18880
2020-09-30,US_NY,1000,9,0,458649,25479
2020-09-30,US_NY_NYC,584,8,0,242013,18888
2020-10-01,US_NY,1382,11,0,460031,25490
2020-10-01,US_NY_NYC,614,5,0,242627,18893
2020-10-02,US_NY,1598,7,0,461629,25497
2020-10-02,US_NY_NYC,597,3,0,243224,18896
2020-10-03,US_NY,1731,8,0,463360,25505
2020-10-03,US_NY_NYC,277,5,0,243501,18901
2020-10-04,US_NY,1222,14,0,464582,25519
2020-10-04,US_NY_NYC,335,7,0,243836,18908
2020-10-05,US_NY,933,8,0,465515,25527
2020-10-05,US_NY_NYC,765,0,0,244601,18908
2020-10-06,US_NY,1393,9,0,466908,25536
2020-10-06,US_NY_NYC,571,3,0,245172,18911
2020-10-07,US_NY,1360,9,0,468268,25545
2020-10-07,US_NY_NYC,542,4,0,245714,18915
2020-10-08,US_NY,1836,10,0,470104,25555
2020-10-08,US_NY_NYC,526,6,0,246240,18921
2020-10-09,US_NY,1592,6,0,471696,25561
2020-10-09,US_NY_NYC,524,2,0,246764,18923
2020-10-10,US_NY,1447,8,0,473143,25569
2020-10-10,US_NY_NYC,314,4,0,247078,18927
2020-10-11,US_NY,1143,5,0,474286,25574
2020-10-11,US_NY_NYC,281,7,0,247359,18934
2020-10-12,US_NY,1029,13,0,475315,25587
2020-10-12,US_NY_NYC,514,8,0,247873,18942
2020-10-13,US_NY,1393,11,0,476708,25598
2020-10-13,US_NY_NYC,589,5,0,248462,18947
2020-10-14,US_NY,1232,7,0,477940,25605
2020-10-14,US_NY_NYC,582,6,0,249044,18953
2020-10-15,US_NY,1460,13,0,479400,25618
2020-10-15,US_NY_NYC,604,8,0,249648,18961
2020-10-16,US_NY,1707,10,0,481107,25628
2020-10-16,US_NY_NYC,502,7,0,250150,18968
2020-10-17,US_NY,1784,9,0,482891,25637
2020-10-17,US_NY_NYC,365,5,0,250515,18973
2020-10-18,US_NY,1390,7,0,484281,25644
2020-10-18,US_NY_NYC,413,4,0,250928,18977
2020-10-19,US_NY,998,15,0,485279,25659
2020-10-19,US_NY_NYC,626,7,0,251554,18984
2020-10-20,US_NY,1201,13,0,486480,25672
2020-10-20,US_NY_NYC,601,5,0,252155,18989
2020-10-21,US_NY,2026,7,0,488506,25679
2020-10-21,US_NY_NYC,653,5,0,252808,18994
2020-10-22,US_NY,1628,15,0,490134,25694
2020-10-22,US_NY_NYC,759,3,0,253567,18997
2020-10-23,US_NY,1637,11,0,491771,25705
2020-10-23,US_NY_NYC,601,4,0,254168,19001
2020-10-24,US_NY,2061,13,0,493832,25718
2020-10-24,US_NY_NYC,386,1,0,254554,19002
2020-10-25,US_NY,1632,12,0,495464,25730
2020-10-25,US_NY_NYC,361,9,0,254915,19011
2020-10-26,US_NY,1191,12,0,496655,25742
2020-10-26,US_NY_NYC,694,4,0,255609,19015
2020-10-27,US_NY,1991,16,0,498646,25758
2020-10-27,US_NY_NYC,740,8,0,256349,19023
2020-10-28,US_NY,2031,15,0,500677,25773
2020-10-28,US_NY_NYC,783,4,0,257132,19027
2020-10-29,US_NY,2499,19,0,503176,25792
2020-10-29,US_NY_NYC,621,4,0,257753,19031
2020-10-30,US_NY,2255,12,0,505431,25804
2020-10-30,US_NY_NYC,653,10,0,258406,19041
2020-10-31,US_NY,2049,3,0,507480,25807
2020-10-31,US_NY_NYC,403,4,0,258809,19045
2020-11-01,US_NY,2255,17,0,509735,25824
2020-11-01,US_NY_NYC,501,12,0,259310,19057
2020-11-02,US_NY,1633,14,0,511368,25838
